video,obj_id,frame_idx,source,mask_kind,area,bbox,area_ratio_init,pos_sim,neg_sim,margin,score,decision,reasons
8jsm23a7,1,48,official_large,object_id,7188,"[186, 612, 305, 704]",2.6034,0.63045,0.509,0.12145,0.35145,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,47,official_large,object_id,7155,"[185, 611, 304, 703]",2.59145,0.63784,0.51906,0.11878,0.34878,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,44,m15_safe,object_id,13995,"[153, 787, 265, 929]",5.06882,0.75929,0.61655,0.14274,0.29274,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,47,m15_safe,object_id,14027,"[153, 787, 265, 929]",5.08041,0.75009,0.60738,0.14271,0.29271,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,20,official_large,object_id,8458,"[199, 523, 304, 627]",3.06338,0.56903,0.5083,0.06073,0.29073,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,45,m15_safe,object_id,14031,"[153, 787, 265, 929]",5.08185,0.75771,0.61765,0.14006,0.29006,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,43,m15_safe,object_id,14189,"[153, 786, 265, 929]",5.13908,0.75515,0.61516,0.13999,0.28999,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,39,m15_safe,object_id,14153,"[153, 786, 265, 929]",5.12604,0.75231,0.61322,0.13909,0.28909,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,48,m15_safe,object_id,14170,"[153, 787, 264, 931]",5.1322,0.75085,0.61481,0.13604,0.28604,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
8jsm23a7,1,40,m15_safe,object_id,14115,"[153, 786, 265, 929]",5.11228,0.74788,0.61319,0.1347,0.2847,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
r13u5z4y,1,29,m16mask,anyfg:1,383,"[156, 705, 209, 723]",0.01152,0.91931,0.72148,0.19784,0.42784,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,25,m16mask,object_id,84165,"[119, 458, 498, 736]",2.53128,0.89851,0.78207,0.11644,0.34644,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,26,m16mask,object_id,81350,"[119, 441, 496, 728]",2.44662,0.8947,0.78633,0.10837,0.33837,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,24,m16mask,object_id,95754,"[134, 464, 501, 725]",2.87982,0.87576,0.77929,0.09646,0.32646,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,28,m16mask,object_id,74911,"[107, 414, 494, 724]",2.25296,0.88021,0.79171,0.0885,0.3185,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,27,m16mask,object_id,71822,"[117, 438, 496, 717]",2.16006,0.88009,0.79204,0.08804,0.31804,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,29,m16mask,object_id,82937,"[106, 381, 495, 724]",2.49435,0.87088,0.79439,0.07649,0.30649,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,30,m16mask,object_id,86109,"[104, 373, 495, 714]",2.58974,0.86038,0.79632,0.06406,0.29406,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,31,m16mask,object_id,88738,"[102, 373, 495, 713]",2.66881,0.84051,0.79879,0.04172,0.27172,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,32,m16mask,object_id,94867,"[77, 373, 491, 714]",2.85314,0.82143,0.8,0.02143,0.25143,needs_more_evidence,state_occluded_non_empty_candidate_review_only
4vznweiu,1,34,official_large,object_id,5586,"[286, 428, 419, 502]",2.26613,0.88793,0.69552,0.19241,0.35241,output_only,kept_as_recovery_branch_output_only
4vznweiu,1,20,official_large,object_id,3395,"[297, 415, 433, 479]",1.37728,0.81661,0.67385,0.14276,0.30276,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
4vznweiu,1,20,official_large,anyfg:3,26,"[316, 450, 321, 457]",0.01055,0.82677,0.70082,0.12595,0.28595,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
4vznweiu,1,20,official_large,anyfg:0,3119,"[344, 415, 417, 479]",1.26531,0.80051,0.68661,0.1139,0.2739,output_only,low_same_class_margin;kept_as_recovery_branch_output_only
4vznweiu,1,10,official_large,object_id,2562,"[275, 468, 325, 528]",1.03935,0.99512,0.77703,0.21808,0.37808,reject,closer_to_hard_negative_than_positive
4vznweiu,1,1,official_large,object_id,2533,"[282, 461, 331, 520]",1.02759,0.99878,0.78306,0.21573,0.37573,reject,closer_to_hard_negative_than_positive
4vznweiu,1,10,m15_safe,object_id,2667,"[275, 469, 326, 531]",1.08195,0.99048,0.77154,0.21893,0.29893,reject,closer_to_hard_negative_than_positive
4vznweiu,1,1,m15_safe,object_id,2514,"[282, 462, 331, 522]",1.01988,0.99735,0.7785,0.21885,0.29885,reject,closer_to_hard_negative_than_positive
4vznweiu,1,20,official_large,anyfg:2,72,"[312, 429, 319, 450]",0.02921,0.86599,0.73703,0.12897,0.28897,reject,closer_to_hard_negative_than_positive
4vznweiu,1,20,official_large,anyfg:1,81,"[328, 429, 335, 448]",0.03286,0.79934,0.73907,0.06027,0.22027,reject,closer_to_hard_negative_than_positive
1qlssuz2,1,39,ledger_anchor,m18_atlas_target_f39_E1,2144,"[163, 65, 230, 97]",1.64417,0.65542,0.67968,-0.02425,0.13575,reject,closer_to_hard_negative_than_positive
1qlssuz2,1,37,ledger_anchor,m18_atlas_target_f37_E1,2010,"[163, 51, 230, 81]",1.54141,0.69834,0.7417,-0.04336,0.11664,reject,closer_to_hard_negative_than_positive
1qlssuz2,1,13,ledger_anchor,m18_atlas_target_f13_E1,2144,"[163, 65, 230, 97]",1.64417,0.55428,0.743,-0.18871,-0.10871,reject,closer_to_hard_negative_than_positive
1qlssuz2,1,14,ledger_anchor,m18_atlas_target_f14_E1,2881,"[163, 97, 230, 140]",2.20936,0.52618,0.75592,-0.22974,-0.14974,reject,closer_to_hard_negative_than_positive
